2,345086
4,507478
8,19613
16,393467
32,456501
64,134170
128,23882
6,14693
10,3385
18,13652
34,28250
130,3984
12,10025
20,31246
36,44730
132,12490
24,6311
40,6205
136,1002
48,45208
144,30711
96,52221
160,10664
14,6599
22,26879
38,53315
134,15800
26,6120
42,13027
138,1459
50,54226
146,14400
98,53212
162,31778
28,11957
44,14231
140,4328
52,78175
148,66889
100,93490
164,25463
56,14048
152,10892
104,16044
168,3488
112,102071
176,62416
224,50917
30,15337
46,31151
142,6147
54,105159
150,35019
102,83524
166,70834
58,31608
154,15606
106,30730
170,14844
114,70845
178,71752
226,73237
60,46229
156,18359
108,42398
172,19340
116,192396
180,76058
228,113554
120,46259
184,19227
232,23648
240,170760
62,71242
158,25584
110,56500
174,47023
118,135054
182,147886
230,154980
122,46529
186,32822
234,42371
242,38474
124,84647
188,65243
236,65747
244,244942
248,72037
126,100166
190,127528
238,100215
246,133508
250,111965
252,194896
254,48114
